iter	Passed	Remaining
0	53	53814
1	101	50743
2	149	49729
3	211	52693
4	274	54664
5	322	53460
6	367	52119
7	428	53127
8	496	54682
9	557	55155
10	606	54492
11	676	55665
12	739	56119
13	802	56491
14	857	56334
15	925	56920
16	982	56783
17	1042	56848
18	1090	56299
19	1147	56245
20	1206	56269
21	1284	57107
22	1362	57883
23	1465	59581
24	1534	59826
25	1607	60230
26	1674	60338
27	1768	61381
28	1833	61405
29	1917	61996
30	1977	61817
31	2035	61559
32	2110	61857
33	2173	61759
34	2242	61831
35	2311	61907
36	2387	62130
37	2448	61976
38	2495	61497
39	2522	60536
40	2597	60763
41	2687	61293
42	2746	61132
43	2809	61050
44	2901	61583
45	2975	61712
46	3055	61962
47	3127	62029
48	3196	62030
49	3313	62960
50	3395	63185
51	3483	63504
52	3556	63538
53	3624	63498
54	3684	63312
55	3747	63169
56	3835	63447
57	3905	63422
58	3967	63274
59	4054	63527
60	4132	63616
61	4214	63755
62	4285	63734
63	4373	63967
64	4460	64160
65	4561	64556
66	4634	64537
67	4694	64336
68	4758	64200
69	4839	64290
70	4912	64275
71	4989	64313
72	5045	64073
73	5105	63885
74	5177	63855
75	5247	63797
76	5340	64013
77	5414	63996
78	5522	64382
79	5576	64132
80	5652	64134
81	5727	64122
82	5797	64049
83	5866	63970
84	5939	63936
85	5985	63618
86	6096	63977
87	6191	64161
88	6260	64081
89	6320	63903
90	6376	63691
91	6440	63568
92	6511	63501
93	6591	63531
94	6652	63372
95	6733	63403
96	6828	63569
97	6907	63573
98	6975	63483
99	7046	63420
100	7130	63467
101	7199	63386
102	7267	63288
103	7341	63252
104	7402	63099
105	7471	63014
106	7578	63248
107	7658	63252
108	7738	63260
109	7847	63490
110	7950	63678
111	8028	63654
112	8155	64019
113	8229	63956
114	8299	63867
115	8355	63677
116	8418	63537
117	8489	63458
118	8558	63358
119	8623	63240
120	8690	63132
121	8754	63004
122	8825	62924
123	8917	63000
124	8971	62803
125	9053	62798
126	9129	62759
127	9223	62832
128	9295	62764
129	9379	62771
130	9460	62753
131	9526	62645
132	9605	62614
133	9699	62687
134	9798	62783
135	9907	62943
136	9988	62922
137	10100	63092
138	10213	63266
139	10291	63220
140	10365	63151
141	10428	63013
142	10510	62992
143	10583	62915
144	10677	62961
145	10736	62800
146	10795	62641
147	10875	62608
148	10947	62523
149	11002	62345
150	11063	62206
151	11137	62136
152	11218	62105
153	11292	62033
154	11430	62316
155	11580	62652
156	11718	62923
157	11790	62833
158	11875	62811
159	11962	62804
160	12050	62794
161	12142	62810
162	12224	62772
163	12304	62722
164	12380	62651
165	12455	62575
166	12516	62434
167	12607	62439
168	12675	62329
169	12741	62209
170	12820	62153
171	12890	62053
172	12966	61986
173	13032	61866
174	13099	61756
175	13156	61597
176	13228	61507
177	13303	61435
178	13380	61369
179	13454	61290
180	13555	61337
181	13644	61325
182	13752	61398
183	13857	61453
184	13955	61478
185	14107	61737
186	14182	61658
187	14256	61577
188	14315	61426
189	14414	61450
190	14494	61393
191	14550	61233
192	14630	61174
193	14695	61055
194	14781	61020
195	14850	60917
196	14917	60805
197	15004	60775
198	15082	60710
199	15148	60594
200	15250	60624
201	15326	60547
202	15420	60542
203	15501	60487
204	15576	60405
205	15656	60346
206	15744	60314
207	15814	60215
208	15896	60163
209	15989	60152
210	16078	60124
211	16154	60044
212	16231	59973
213	16294	59848
214	16372	59778
215	16474	59797
216	16540	59684
217	16606	59571
218	16668	59442
219	16729	59315
220	16793	59196
221	16856	59072
222	16925	58973
223	16995	58877
224	17072	58804
225	17151	58740
226	17215	58624
227	17288	58539
228	17398	58578
229	17486	58541
230	17574	58504
231	17651	58432
232	17752	58438
233	17825	58350
234	17897	58260
235	17963	58153
236	18047	58101
237	18135	58063
238	18194	57934
239	18256	57812
240	18320	57697
241	18386	57589
242	18459	57504
243	18554	57489
244	18654	57487
245	18735	57423
246	18817	57365
247	18888	57273
248	18955	57172
249	19037	57113
250	19096	56986
251	19170	56902
252	19240	56809
253	19322	56749
254	19386	56638
255	19456	56544
256	19525	56450
257	19585	56327
258	19681	56310
259	19764	56253
260	19847	56197
261	19922	56118
262	19980	55990
263	20053	55905
264	20128	55826
265	20196	55730
266	20240	55565
267	20295	55433
268	20357	55320
269	20416	55200
270	20474	55076
271	20543	54985
272	20611	54888
273	20678	54790
274	20726	54642
275	20790	54537
276	20861	54450
277	20913	54316
278	20971	54195
279	21071	54184
280	21168	54165
281	21242	54085
282	21333	54051
283	21415	53991
284	21513	53971
285	21610	53950
286	21716	53950
287	21785	53858
288	21873	53813
289	21947	53732
290	22018	53645
291	22088	53558
292	22183	53528
293	22250	53430
294	22329	53363
295	22432	53351
296	22517	53298
297	22599	53236
298	22683	53180
299	22759	53106
300	22832	53022
301	22909	52950
302	22973	52846
303	23037	52744
304	23120	52684
305	23208	52635
306	23274	52537
307	23390	52553
308	23469	52482
309	23575	52474
310	23709	52527
311	23808	52500
312	23887	52430
313	23993	52419
314	24091	52388
315	24167	52311
316	24244	52237
317	24316	52149
318	24399	52087
319	24469	51998
320	24534	51897
321	24610	51818
322	24676	51722
323	24754	51647
324	24850	51612
325	24947	51579
326	25038	51531
327	25132	51491
328	25202	51400
329	25288	51343
330	25368	51274
331	25449	51205
332	25546	51169
333	25640	51127
334	25787	51189
335	25869	51122
336	25944	51041
337	26030	50983
338	26108	50908
339	26196	50851
340	26275	50778
341	26363	50722
342	26435	50636
343	26505	50545
344	26654	50605
345	26741	50545
346	26846	50520
347	26939	50473
348	27026	50413
349	27100	50330
350	27237	50361
351	27337	50325
352	27418	50253
353	27559	50292
354	27661	50258
355	27739	50180
356	27818	50103
357	27921	50072
358	28029	50047
359	28146	50038
360	28246	49998
361	28326	49923
362	28431	49891
363	28543	49873
364	28615	49782
365	28704	49723
366	28793	49662
367	28865	49573
368	28959	49520
369	29056	49474
370	29146	49414
371	29238	49359
372	29322	49290
373	29435	49268
374	29541	49236
375	29636	49184
376	29748	49160
377	29835	49094
378	29944	49064
379	30021	48982
380	30094	48893
381	30163	48798
382	30256	48742
383	30340	48671
384	30422	48596
385	30491	48501
386	30576	48433
387	30651	48347
388	30727	48264
389	30825	48213
390	30912	48147
391	31012	48100
392	31091	48021
393	31182	47961
394	31276	47904
395	31373	47852
396	31467	47795
397	31565	47745
398	31651	47675
399	31728	47592
400	31809	47516
401	31893	47444
402	31980	47375
403	32047	47278
404	32135	47211
405	32229	47153
406	32304	47067
407	32388	46995
408	32487	46944
409	32580	46883
410	32656	46799
411	32739	46725
412	32808	46630
413	32896	46562
414	32987	46500
415	33060	46411
416	33147	46342
417	33268	46320
418	33404	46319
419	33504	46267
420	33600	46211
421	33707	46168
422	33803	46109
423	33916	46075
424	33993	45991
425	34094	45940
426	34190	45881
427	34283	45818
428	34376	45755
429	34460	45679
430	34553	45616
431	34640	45545
432	34732	45481
433	34809	45396
434	34889	45316
435	34985	45256
436	35070	45182
437	35153	45105
438	35226	45016
439	35325	44959
440	35449	44935
441	35534	44859
442	35643	44816
443	35752	44770
444	35845	44705
445	35926	44626
446	36000	44538
447	36088	44465
448	36159	44373
449	36231	44282
450	36321	44213
451	36401	44132
452	36488	44060
453	36561	43970
454	36641	43889
455	36718	43803
456	36785	43707
457	36864	43625
458	36948	43549
459	37057	43502
460	37131	43414
461	37205	43325
462	37348	43318
463	37434	43243
464	37547	43200
465	37618	43108
466	37705	43034
467	37796	42965
468	37884	42892
469	37978	42826
470	38074	42763
471	38144	42669
472	38212	42574
473	38303	42505
474	38380	42420
475	38457	42336
476	38545	42262
477	38613	42167
478	38691	42084
479	38759	41989
480	38843	41911
481	38923	41830
482	39025	41773
483	39103	41688
484	39183	41606
485	39268	41530
486	39333	41433
487	39413	41352
488	39496	41273
489	39575	41190
490	39662	41116
491	39747	41039
492	39825	40956
493	39891	40860
494	39992	40800
495	40073	40720
496	40141	40626
497	40225	40548
498	40292	40454
499	40362	40362
500	40441	40280
501	40532	40209
502	40627	40142
503	40695	40049
504	40767	39960
505	40834	39866
506	40918	39788
507	40995	39704
508	41070	39618
509	41148	39535
510	41229	39454
511	41299	39363
512	41398	39300
513	41486	39226
514	41581	39159
515	41672	39088
516	41747	39001
517	41852	38943
518	41923	38853
519	41997	38766
520	42087	38694
521	42156	38603
522	42218	38505
523	42296	38422
524	42376	38340
525	42459	38262
526	42538	38179
527	42632	38110
528	42711	38028
529	42806	37960
530	42884	37876
531	42961	37792
532	43049	37718
533	43128	37636
534	43223	37568
535	43301	37485
536	43394	37414
537	43472	37331
538	43544	37242
539	43618	37156
540	43691	37068
541	43770	36986
542	43856	36910
543	43938	36830
544	44033	36761
545	44110	36677
546	44178	36586
547	44249	36497
548	44332	36418
549	44416	36340
550	44489	36253
551	44578	36179
552	44657	36097
553	44745	36022
554	44825	35941
555	44894	35850
556	44977	35772
557	45075	35704
558	45166	35632
559	45268	35568
560	45366	35500
561	45467	35435
562	45550	35356
563	45642	35283
564	45721	35201
565	45881	35181
566	45964	35101
567	46066	35036
568	46176	34977
569	46286	34917
570	46380	34846
571	46475	34775
572	46572	34706
573	46679	34643
574	46805	34595
575	46886	34513
576	46994	34451
577	47083	34376
578	47176	34302
579	47246	34212
580	47336	34137
581	47411	34051
582	47490	33968
583	47575	33889
584	47647	33801
585	47720	33713
586	47800	33631
587	47872	33543
588	47957	33464
589	48037	33382
590	48134	33311
591	48226	33237
592	48307	33155
593	48389	33074
594	48473	32994
595	48552	32911
596	48651	32841
597	48744	32768
598	48822	32683
599	48920	32613
600	49006	32534
601	49083	32450
602	49162	32367
603	49271	32303
604	49342	32215
605	49419	32131
606	49495	32045
607	49585	31969
608	49692	31904
609	49805	31842
610	49900	31769
611	49985	31690
612	50063	31606
613	50155	31531
614	50235	31448
615	50317	31366
616	50412	31293
617	50496	31212
618	50588	31137
619	50667	31054
620	50750	30973
621	50829	30889
622	50907	30805
623	50980	30719
624	51081	30648
625	51161	30566
626	51252	30489
627	51333	30407
628	51403	30319
629	51465	30225
630	51544	30142
631	51618	30056
632	51692	29970
633	51773	29888
634	51859	29809
635	51940	29726
636	52028	29648
637	52131	29579
638	52235	29510
639	52325	29432
640	52413	29354
641	52581	29321
642	52684	29250
643	52763	29167
644	52846	29085
645	52925	29002
646	53003	28918
647	53083	28835
648	53170	28756
649	53250	28673
650	53324	28587
651	53398	28501
652	53474	28416
653	53557	28334
654	53631	28248
655	53718	28169
656	53796	28085
657	53874	28001
658	53950	27916
659	54042	27840
660	54123	27757
661	54214	27680
662	54303	27602
663	54378	27516
664	54478	27443
665	54554	27359
666	54637	27277
667	54710	27191
668	54793	27109
669	54867	27024
670	54952	26943
671	55036	26862
672	55110	26777
673	55181	26690
674	55251	26602
675	55317	26513
676	55397	26430
677	55463	26341
678	55536	26255
679	55600	26165
680	55677	26080
681	55754	25996
682	55821	25908
683	55901	25825
684	55985	25745
685	56077	25667
686	56165	25589
687	56235	25502
688	56325	25424
689	56408	25343
690	56499	25265
691	56586	25185
692	56656	25098
693	56751	25022
694	56820	24935
695	56891	24849
696	56973	24767
697	57052	24684
698	57131	24601
699	57209	24518
700	57289	24436
701	57376	24356
702	57442	24267
703	57531	24189
704	57608	24105
705	57686	24022
706	57770	23941
707	57834	23852
708	57899	23764
709	57966	23676
710	58037	23590
711	58116	23507
712	58226	23437
713	58319	23360
714	58415	23284
715	58525	23213
716	58629	23141
717	58721	23063
718	58807	22983
719	58874	22895
720	58953	22812
721	59025	22727
722	59094	22640
723	59226	22577
724	59310	22497
725	59387	22413
726	59485	22337
727	59557	22252
728	59647	22173
729	59751	22099
730	59827	22015
731	59906	21932
732	59980	21848
733	60053	21763
734	60145	21685
735	60221	21601
736	60320	21525
737	60409	21446
738	60484	21361
739	60565	21279
740	60649	21198
741	60735	21118
742	60807	21033
743	60893	20952
744	60965	20867
745	61035	20781
746	61108	20696
747	61177	20610
748	61244	20523
749	61314	20438
750	61388	20353
751	61458	20268
752	61527	20182
753	61608	20100
754	61696	20020
755	61782	19940
756	61868	19859
757	61952	19779
758	62041	19699
759	62123	19617
760	62228	19543
761	62320	19464
762	62407	19384
763	62509	19309
764	62600	19230
765	62684	19149
766	62754	19063
767	62829	18979
768	62901	18895
769	62992	18816
770	63069	18732
771	63155	18652
772	63234	18569
773	63301	18483
774	63385	18402
775	63446	18314
776	63519	18230
777	63608	18150
